Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,RFFN_std,RFFP_std,SPFN_std,SPFP_std
4,50,clustalo,ftnoml,0.1323,0.1345,0.1953,0.1743,846.7500,0.0267,0.0269,0.0711,0.0618
1,100,magus,ft,0.1094,0.1116,0.1261,0.1181,489.7500,0.0305,0.0308,0.0311,0.0310
2,100,magus,ft,0.0716,0.0739,0.1289,0.1182,668.7500,0.0206,0.0209,0.0375,0.0372
3,100,magus,ft,0.0682,0.0706,0.1297,0.1198,847.2500,0.0208,0.0211,0.0413,0.0376
4,100,magus,ft,0.0685,0.0708,0.1222,0.1111,1022.7500,0.0191,0.0194,0.0291,0.0288
1,100,magus,ftnoml,0.1094,0.1116,0.1261,0.1181,489.7500,0.0305,0.0308,0.0311,0.0310
2,100,magus,ftnoml,0.0986,0.1009,0.1254,0.1165,585.2500,0.0194,0.0196,0.0344,0.0350
3,100,magus,ftnoml,0.0976,0.0998,0.1304,0.1215,680.2500,0.0177,0.0179,0.0414,0.0391
4,100,magus,ftnoml,0.0978,0.1001,0.1260,0.1155,775.7500,0.0168,0.0171,0.0353,0.0336
1,100,clustalo,ft,0.3024,0.3042,0.3627,0.3291,392.7500,0.0282,0.0283,0.0931,0.0876
2,100,clustalo,ft,0.1444,0.1465,0.1624,0.1480,649.7500,0.0388,0.0389,0.0426,0.0432
3,100,clustalo,ft,0.0858,0.0881,0.1546,0.1436,841.2500,0.0199,0.0201,0.0533,0.0487
4,100,clustalo,ft,0.0805,0.0828,0.1458,0.1369,1025.2500,0.0203,0.0205,0.0352,0.0339
1,100,clustalo,ftnoml,0.3024,0.3042,0.3627,0.3291,392.7500,0.0282,0.0283,0.0931,0.0876
2,100,clustalo,ftnoml,0.1638,0.1659,0.1736,0.1600,526.7500,0.0341,0.0342,0.0345,0.0364
3,100,clustalo,ftnoml,0.1159,0.1181,0.1566,0.1427,628.7500,0.0208,0.0210,0.0260,0.0262
4,100,clustalo,ftnoml,0.1094,0.1116,0.1435,0.1306,728.2500,0.0151,0.0152,0.0292,0.0301
1,200,magus,ft,0.1094,0.1116,0.1402,0.1305,530.7500,0.0305,0.0308,0.0350,0.0357
2,200,magus,ft,0.0710,0.0733,0.1311,0.1227,700.2500,0.0227,0.0229,0.0320,0.0345
3,200,magus,ft,0.0677,0.0701,0.1446,0.1336,864.7500,0.0205,0.0207,0.0370,0.0376
