Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,Replicate
4,10,magus,ftnoml,0.0888,0.0911,0.0999,0.0951,785,7
4,10,magus,ftnoml,0.0853,0.0876,0.1938,0.1478,829,8
4,10,magus,ftnoml,0.0877,0.0891,0.1650,0.1474,794,9
1,10,clustalo,ft,0.2914,0.2918,0.2431,0.2137,407,0
1,10,clustalo,ft,0.2816,0.2838,0.4171,0.3697,407,1
1,10,clustalo,ft,0.3074,0.3088,0.3576,0.3237,478,2
1,10,clustalo,ft,0.2743,0.2758,0.2648,0.2254,440,3
1,10,clustalo,ft,0.3464,0.3483,0.5286,0.4726,349,4
1,10,clustalo,ft,0.2834,0.2848,0.2405,0.2197,606,5
1,10,clustalo,ft,0.3044,0.3058,0.3579,0.3187,394,6
1,10,clustalo,ft,0.3176,0.3193,0.2815,0.2492,412,7
1,10,clustalo,ft,0.3111,0.3128,0.4139,0.3768,440,8
1,10,clustalo,ft,0.3163,0.3173,0.4826,0.4349,451,9
2,10,clustalo,ft,0.0986,0.0991,0.1157,0.1091,771,0
2,10,clustalo,ft,0.1632,0.1657,0.2622,0.2333,671,1
2,10,clustalo,ft,0.1384,0.1401,0.1787,0.1626,784,2
2,10,clustalo,ft,0.1284,0.1301,0.1502,0.1279,742,3
2,10,clustalo,ft,0.2349,0.2372,0.3169,0.2870,605,4
2,10,clustalo,ft,0.0948,0.0966,0.1202,0.1117,1016,5
2,10,clustalo,ft,0.1575,0.1592,0.1943,0.1762,628,6
2,10,clustalo,ft,0.1269,0.1291,0.1037,0.0962,700,7
2,10,clustalo,ft,0.1731,0.1752,0.2469,0.2150,712,8
2,10,clustalo,ft,0.1955,0.1967,0.2608,0.2301,741,9
3,10,clustalo,ft,0.0641,0.0646,0.1032,0.0917,1043,0
3,10,clustalo,ft,0.1175,0.1201,0.2206,0.2016,861,1
3,10,clustalo,ft,0.0893,0.0911,0.1622,0.1503,1006,2
3,10,clustalo,ft,0.0923,0.0941,0.1205,0.1018,958,3
3,10,clustalo,ft,0.1687,0.1712,0.2608,0.2357,801,4
3,10,clustalo,ft,0.0597,0.0616,0.1164,0.1094,1296,5
3,10,clustalo,ft,0.1028,0.1046,0.1619,0.1508,816,6
3,10,clustalo,ft,0.0828,0.0851,0.1176,0.1063,918,7
3,10,clustalo,ft,0.1224,0.1246,0.2293,0.1917,914,8
3,10,clustalo,ft,0.1228,0.1241,0.1964,0.1723,959,9
4,10,clustalo,ft,0.0611,0.0616,0.1121,0.1052,1281,0
4,10,clustalo,ft,0.0984,0.1011,0.2075,0.1905,1049,1
4,10,clustalo,ft,0.0908,0.0926,0.1588,0.1419,1216,2
4,10,clustalo,ft,0.0848,0.0866,0.1164,0.0950,1168,3
4,10,clustalo,ft,0.1476,0.1502,0.2580,0.2394,985,4
4,10,clustalo,ft,0.0597,0.0616,0.1274,0.1161,1544,5
4,10,clustalo,ft,0.0848,0.0866,0.1484,0.1354,996,6
4,10,clustalo,ft,0.0738,0.0761,0.1245,0.1062,1128,7
4,10,clustalo,ft,0.1179,0.1201,0.2151,0.1949,1116,8
4,10,clustalo,ft,0.1063,0.1076,0.1835,0.1669,1175,9
1,10,clustalo,ftnoml,0.2914,0.2918,0.2431,0.2137,407,0
1,10,clustalo,ftnoml,0.2816,0.2838,0.4171,0.3697,407,1
1,10,clustalo,ftnoml,0.3074,0.3088,0.3576,0.3237,478,2
1,10,clustalo,ftnoml,0.2743,0.2758,0.2648,0.2254,440,3
1,10,clustalo,ftnoml,0.3464,0.3483,0.5286,0.4726,349,4
1,10,clustalo,ftnoml,0.2834,0.2848,0.2405,0.2197,606,5
1,10,clustalo,ftnoml,0.3044,0.3058,0.3579,0.3187,394,6
1,10,clustalo,ftnoml,0.3176,0.3193,0.2815,0.2492,412,7
1,10,clustalo,ftnoml,0.3111,0.3128,0.4139,0.3768,440,8
1,10,clustalo,ftnoml,0.3163,0.3173,0.4826,0.4349,451,9
2,10,clustalo,ftnoml,0.1237,0.1241,0.1233,0.1005,649,0
2,10,clustalo,ftnoml,0.1747,0.1772,0.2538,0.2207,549,1
2,10,clustalo,ftnoml,0.1585,0.1602,0.1737,0.1570,642,2
2,10,clustalo,ftnoml,0.1590,0.1607,0.1385,0.1233,606,3
2,10,clustalo,ftnoml,0.2405,0.2427,0.3262,0.3011,485,4
2,10,clustalo,ftnoml,0.1184,0.1201,0.1281,0.1162,814,5
2,10,clustalo,ftnoml,0.1785,0.1802,0.1939,0.1779,526,6
2,10,clustalo,ftnoml,0.1445,0.1466,0.1281,0.1146,568,7
2,10,clustalo,ftnoml,0.1942,0.1962,0.2660,0.2270,576,8
2,10,clustalo,ftnoml,0.2160,0.2172,0.2991,0.2632,591,9
3,10,clustalo,ftnoml,0.0996,0.1001,0.1104,0.0966,777,0
