dataset,replicate,method,iteration,runtime
RNASim-1000,R2,magus_magus-iter1,1,453.7500
RNASim-1000,R2,magus_magus-iter2,2,452.8000
RNASim-1000,R2,magus_magus-iter3,3,499.4700
RNASim-1000,R2,magus_magus-iter4,4,391.4000
RNASim-1000,R2,muscle,-1,4100.3400
RNASim-1000,R2,pasta-iter3,3,2802.3500
RNASim-1000,R3,clustalo,-1,637.6400
RNASim-1000,R3,mafft,-1,13.2600
RNASim-1000,R3,magus_clustalo-iter0,0,22.1000
RNASim-1000,R3,magus_clustalo-iter1,1,1179.7800
RNASim-1000,R3,magus_clustalo-iter2,2,1235.8700
RNASim-1000,R3,magus_clustalo-iter3,3,1146.8100
RNASim-1000,R3,magus_clustalo-iter4,4,1123.8500
RNASim-1000,R3,magus_default-iter0,0,1594.6000
RNASim-1000,R3,magus_default-iter1,1,2458.2000
RNASim-1000,R3,magus_magus-iter0,0,2969.2300
RNASim-1000,R3,magus_magus-iter1,1,487.5900
RNASim-1000,R3,magus_magus-iter2,2,453.9800
RNASim-1000,R3,magus_magus-iter3,3,437.5300
RNASim-1000,R3,magus_magus-iter4,4,355.6300
RNASim-1000,R3,muscle,-1,4025.4900
RNASim-1000,R3,pasta-iter3,3,3420.3300
RNASim-1000,R4,clustalo,-1,687.9000
RNASim-1000,R4,mafft,-1,14.0800
RNASim-1000,R4,magus_clustalo-iter0,0,21.5100
RNASim-1000,R4,magus_clustalo-iter1,1,844.2400
RNASim-1000,R4,magus_clustalo-iter2,2,820.4800
RNASim-1000,R4,magus_clustalo-iter3,3,841.3700
RNASim-1000,R4,magus_clustalo-iter4,4,747.8600
RNASim-1000,R4,magus_default-iter0,0,1331.3500
RNASim-1000,R4,magus_default-iter1,1,2441.3400
RNASim-1000,R4,magus_magus-iter0,0,2912.8600
RNASim-1000,R4,magus_magus-iter1,1,467.8400
RNASim-1000,R4,magus_magus-iter2,2,441.2500
RNASim-1000,R4,magus_magus-iter3,3,436.4400
RNASim-1000,R4,magus_magus-iter4,4,387.5100
RNASim-1000,R4,muscle,-1,3943.6700
RNASim-1000,R4,pasta-iter3,3,2825.4600
RNASim-1000,R5,clustalo,-1,705.0000
RNASim-1000,R5,mafft,-1,13.3900
RNASim-1000,R5,magus_clustalo-iter0,0,22.1700
RNASim-1000,R5,magus_clustalo-iter1,1,1197.3500
RNASim-1000,R5,magus_clustalo-iter2,2,1132.7200
RNASim-1000,R5,magus_clustalo-iter3,3,1101.9900
RNASim-1000,R5,magus_clustalo-iter4,4,1033.0300
RNASim-1000,R5,magus_default-iter0,0,1442.7700
RNASim-1000,R5,magus_default-iter1,1,1380.9400
RNASim-1000,R5,magus_magus-iter0,0,1922.3000
RNASim-1000,R5,magus_magus-iter1,1,446.9400
RNASim-1000,R5,magus_magus-iter2,2,436.8500
RNASim-1000,R5,magus_magus-iter3,3,422.5200
RNASim-1000,R5,magus_magus-iter4,4,389.4900
RNASim-1000,R5,muscle,-1,5518.1300
RNASim-1000,R5,pasta-iter3,3,3576.4200
RNASim-1000,R6,clustalo,-1,548.1200
RNASim-1000,R6,mafft,-1,12.9100
RNASim-1000,R6,magus_clustalo-iter0,0,21.4600
RNASim-1000,R6,magus_clustalo-iter1,1,1273.2200
RNASim-1000,R6,magus_clustalo-iter2,2,1173.4100
RNASim-1000,R6,magus_clustalo-iter3,3,1222.7500
RNASim-1000,R6,magus_clustalo-iter4,4,1075.8900
RNASim-1000,R6,magus_default-iter0,0,1637.3400
RNASim-1000,R6,magus_default-iter1,1,1680.3400
RNASim-1000,R6,magus_magus-iter0,0,2150.8000
RNASim-1000,R6,magus_magus-iter1,1,448.7400
RNASim-1000,R6,magus_magus-iter2,2,431.7500
RNASim-1000,R6,magus_magus-iter3,3,427.3700
RNASim-1000,R6,magus_magus-iter4,4,397.5300
RNASim-1000,R6,muscle,-1,3799.3600
RNASim-1000,R6,pasta-iter3,3,2876.7000
RNASim-1000,R7,clustalo,-1,685.2100
RNASim-1000,R7,mafft,-1,14.1700
RNASim-1000,R7,magus_clustalo-iter0,0,23.7100
RNASim-1000,R7,magus_clustalo-iter1,1,1158.1300
RNASim-1000,R7,magus_clustalo-iter2,2,1111.7100
RNASim-1000,R7,magus_clustalo-iter3,3,1150.2700
RNASim-1000,R7,magus_clustalo-iter4,4,1030.8700
RNASim-1000,R7,magus_default-iter0,0,1516.9500
RNASim-1000,R7,magus_default-iter1,1,1165.0400
RNASim-1000,R7,magus_magus-iter0,0,1607.9800
RNASim-1000,R7,magus_magus-iter1,1,430.7400
RNASim-1000,R7,magus_magus-iter2,2,425.8500
RNASim-1000,R7,magus_magus-iter3,3,434.9100
RNASim-1000,R7,magus_magus-iter4,4,338.4700
RNASim-1000,R7,muscle,-1,3976.2500
RNASim-1000,R7,pasta-iter3,3,2807.5700
RNASim-1000,R8,clustalo,-1,705.3300
RNASim-1000,R8,mafft,-1,14.7300
RNASim-1000,R8,magus_clustalo-iter0,0,23.5200
RNASim-1000,R8,magus_clustalo-iter1,1,1186.7000
RNASim-1000,R8,magus_clustalo-iter2,2,1214.7700
RNASim-1000,R8,magus_clustalo-iter3,3,1283.4400
RNASim-1000,R8,magus_clustalo-iter4,4,1100.2400
RNASim-1000,R8,magus_default-iter0,0,1666.7000
RNASim-1000,R8,magus_default-iter1,1,2268.6000
RNASim-1000,R8,magus_magus-iter0,0,2654.8500
RNASim-1000,R8,magus_magus-iter1,1,430.1300
RNASim-1000,R8,magus_magus-iter2,2,433.6300
RNASim-1000,R8,magus_magus-iter3,3,435.4100
RNASim-1000,R8,magus_magus-iter4,4,392.5400
RNASim-1000,R8,muscle,-1,4023.9100
RNASim-1000,R8,pasta-iter3,3,3596.0100
RNASim-1000,R9,clustalo,-1,468.3600
RNASim-1000,R9,mafft,-1,15.4900
RNASim-1000,R9,magus_clustalo-iter0,0,22.5700
RNASim-1000,R9,magus_clustalo-iter1,1,849.8500
RNASim-1000,R9,magus_clustalo-iter2,2,838.4000
RNASim-1000,R9,magus_clustalo-iter3,3,817.7400
RNASim-1000,R9,magus_clustalo-iter4,4,694.3300
RNASim-1000,R9,magus_default-iter0,0,1126.8800
RNASim-1000,R9,magus_default-iter1,1,1199.5400
RNASim-1000,R9,magus_magus-iter0,0,1642.7300
RNASim-1000,R9,magus_magus-iter1,1,415.7500
RNASim-1000,R9,magus_magus-iter2,2,434.7900
RNASim-1000,R9,magus_magus-iter3,3,409.6300
RNASim-1000,R9,magus_magus-iter4,4,364.0900
RNASim-1000,R9,muscle,-1,3854.8500
RNASim-1000,R9,pasta-iter3,3,3309.3600
RNASim-10000,R0,clustalo,-1,8415.1100
RNASim-10000,R0,mafft,-1,92.3900
RNASim-10000,R0,magus_clustalo-iter0,0,147.7300
RNASim-10000,R0,magus_clustalo-iter1,1,7833.2200
RNASim-10000,R0,magus_clustalo-iter2,2,7291.1200
RNASim-10000,R0,magus_clustalo-iter3,3,7194.6100
RNASim-10000,R0,magus_clustalo-iter4,4,950.6200
RNASim-10000,R0,magus_default-iter0,0,2050.0700
RNASim-10000,R0,magus_default-iter1,1,3708.4000
RNASim-10000,R0,magus_magus-iter0,0,4709.6900
RNASim-10000,R0,magus_magus-iter1,1,7317.2200
RNASim-10000,R0,magus_magus-iter2,2,7203.8400
RNASim-10000,R0,magus_magus-iter3,3,7153.8300
RNASim-10000,R0,magus_magus-iter4,4,949.1400
RNASim-10000,R0,muscle,-1,39628.5700
RNASim-10000,R0,pasta-iter3,3,6682.1400
RNASim-10000,R1,clustalo,-1,8549.9200
RNASim-10000,R1,mafft,-1,93.7500
RNASim-10000,R1,magus_clustalo-iter0,0,148.4700
RNASim-10000,R1,magus_clustalo-iter1,1,7623.4100
RNASim-10000,R1,magus_clustalo-iter2,2,7197.5900
RNASim-10000,R1,magus_clustalo-iter3,3,7106.1500
RNASim-10000,R1,magus_clustalo-iter4,4,951.4300
RNASim-10000,R1,magus_default-iter0,0,1974.2600
RNASim-10000,R1,magus_default-iter1,1,3516.2600
RNASim-10000,R1,magus_magus-iter0,0,4535.2800
RNASim-10000,R1,magus_magus-iter1,1,6994.1900
RNASim-10000,R1,magus_magus-iter2,2,7029.4400
RNASim-10000,R1,magus_magus-iter3,3,7186.9700
RNASim-10000,R1,magus_magus-iter4,4,1004.6000
RNASim-10000,R1,muscle,-1,40623.9300
RNASim-10000,R1,pasta-iter3,3,7081.8900
RNASim-10000,R2,clustalo,-1,8679.1500
RNASim-10000,R2,mafft,-1,93.1600
RNASim-10000,R2,magus_clustalo-iter0,0,150.0700
RNASim-10000,R2,magus_clustalo-iter1,1,7605.7500
RNASim-10000,R2,magus_clustalo-iter2,2,7271.9700
RNASim-10000,R2,magus_clustalo-iter3,3,7278.9200
RNASim-10000,R2,magus_clustalo-iter4,4,1034.8100
RNASim-10000,R2,magus_default-iter0,0,2260.4100
RNASim-10000,R2,magus_default-iter1,1,3702.1400
RNASim-10000,R2,magus_magus-iter0,0,4724.0700
RNASim-10000,R2,magus_magus-iter1,1,6990.7300
RNASim-10000,R2,magus_magus-iter2,2,7185.3200
RNASim-10000,R2,magus_magus-iter3,3,7238.4000
RNASim-10000,R2,magus_magus-iter4,4,1042.5600
RNASim-10000,R2,muscle,-1,38599.9200
RNASim-10000,R2,pasta-iter3,3,6427.0300
RNASim-10000,R3,clustalo,-1,8794.7000
RNASim-10000,R3,mafft,-1,90.8600
RNASim-10000,R3,magus_clustalo-iter0,0,147.0600
RNASim-10000,R3,magus_clustalo-iter1,1,7740.2700
RNASim-10000,R3,magus_clustalo-iter2,2,7214.3100
RNASim-10000,R3,magus_clustalo-iter3,3,7047.1800
RNASim-10000,R3,magus_clustalo-iter4,4,976.2000
RNASim-10000,R3,magus_default-iter0,0,2046.9100
RNASim-10000,R3,magus_default-iter1,1,3663.3200
RNASim-10000,R3,magus_magus-iter0,0,4759.9300
RNASim-10000,R3,magus_magus-iter1,1,7362.6200
RNASim-10000,R3,magus_magus-iter2,2,6986.1700
RNASim-10000,R3,magus_magus-iter3,3,7309.6500
RNASim-10000,R3,magus_magus-iter4,4,1030.3400
RNASim-10000,R3,muscle,-1,39860.8000
RNASim-10000,R3,pasta-iter3,3,7500.3100
RNASim-10000,R4,clustalo,-1,8710.8600
RNASim-10000,R4,mafft,-1,93.4300
RNASim-10000,R4,magus_clustalo-iter0,0,151.0200
RNASim-10000,R4,magus_clustalo-iter1,1,7826.1800
RNASim-10000,R4,magus_clustalo-iter2,2,6845.6100
RNASim-10000,R4,magus_clustalo-iter3,3,7153.8500
RNASim-10000,R4,magus_clustalo-iter4,4,1035.9900
RNASim-10000,R4,magus_default-iter0,0,2251.3500
RNASim-10000,R4,magus_default-iter1,1,3742.1200
RNASim-10000,R4,magus_magus-iter0,0,4816.3600
RNASim-10000,R4,magus_magus-iter1,1,6930.4900
RNASim-10000,R4,magus_magus-iter2,2,7256.0000
RNASim-10000,R4,magus_magus-iter3,3,7126.8900
RNASim-10000,R4,magus_magus-iter4,4,997.4900
RNASim-10000,R4,muscle,-1,39334.1500
RNASim-10000,R4,pasta-iter3,3,6512.5200
RNASim-10000,R5,clustalo,-1,8604.1200
RNASim-10000,R5,mafft,-1,92.4600
