dataset,replicate,method,iteration,runtime
RNASim-1000,R2,magus_magus-iter1,1,3032.2900
RNASim-1000,R2,magus_magus-iter2,2,3485.0900
RNASim-1000,R2,magus_magus-iter3,3,3984.5600
RNASim-1000,R2,magus_magus-iter4,4,4375.9600
RNASim-1000,R2,muscle,-1,4100.3400
RNASim-1000,R2,pasta-iter3,3,2802.3500
RNASim-1000,R3,clustalo,-1,637.6400
RNASim-1000,R3,mafft,-1,13.2600
RNASim-1000,R3,magus_clustalo-iter0,0,22.1000
RNASim-1000,R3,magus_clustalo-iter1,1,1201.8800
RNASim-1000,R3,magus_clustalo-iter2,2,2437.7500
RNASim-1000,R3,magus_clustalo-iter3,3,3584.5600
RNASim-1000,R3,magus_clustalo-iter4,4,4708.4100
RNASim-1000,R3,magus_default-iter0,0,1594.6000
RNASim-1000,R3,magus_default-iter1,1,4052.8000
RNASim-1000,R3,magus_magus-iter0,0,2969.2300
RNASim-1000,R3,magus_magus-iter1,1,3456.8200
RNASim-1000,R3,magus_magus-iter2,2,3910.8000
RNASim-1000,R3,magus_magus-iter3,3,4348.3300
RNASim-1000,R3,magus_magus-iter4,4,4703.9600
RNASim-1000,R3,muscle,-1,4025.4900
RNASim-1000,R3,pasta-iter3,3,3420.3300
RNASim-1000,R4,clustalo,-1,687.9000
RNASim-1000,R4,mafft,-1,14.0800
RNASim-1000,R4,magus_clustalo-iter0,0,21.5100
RNASim-1000,R4,magus_clustalo-iter1,1,865.7500
RNASim-1000,R4,magus_clustalo-iter2,2,1686.2300
RNASim-1000,R4,magus_clustalo-iter3,3,2527.6000
RNASim-1000,R4,magus_clustalo-iter4,4,3275.4600
RNASim-1000,R4,magus_default-iter0,0,1331.3500
RNASim-1000,R4,magus_default-iter1,1,3772.6900
RNASim-1000,R4,magus_magus-iter0,0,2912.8600
RNASim-1000,R4,magus_magus-iter1,1,3380.7000
RNASim-1000,R4,magus_magus-iter2,2,3821.9500
RNASim-1000,R4,magus_magus-iter3,3,4258.3900
RNASim-1000,R4,magus_magus-iter4,4,4645.9000
RNASim-1000,R4,muscle,-1,3943.6700
RNASim-1000,R4,pasta-iter3,3,2825.4600
RNASim-1000,R5,clustalo,-1,705.0000
RNASim-1000,R5,mafft,-1,13.3900
RNASim-1000,R5,magus_clustalo-iter0,0,22.1700
RNASim-1000,R5,magus_clustalo-iter1,1,1219.5200
RNASim-1000,R5,magus_clustalo-iter2,2,2352.2400
RNASim-1000,R5,magus_clustalo-iter3,3,3454.2300
RNASim-1000,R5,magus_clustalo-iter4,4,4487.2600
RNASim-1000,R5,magus_default-iter0,0,1442.7700
RNASim-1000,R5,magus_default-iter1,1,2823.7100
RNASim-1000,R5,magus_magus-iter0,0,1922.3000
RNASim-1000,R5,magus_magus-iter1,1,2369.2400
RNASim-1000,R5,magus_magus-iter2,2,2806.0900
RNASim-1000,R5,magus_magus-iter3,3,3228.6100
RNASim-1000,R5,magus_magus-iter4,4,3618.1000
