Dataset,Replicate,Method,Iteration,Runtime
RNASim-1000,R1,magus_clustalo-iter3,3,2503.5100
RNASim-1000,R1,magus_clustalo-iter3guide,3,2561.1800
RNASim-1000,R1,magus_clustalo-iter4,4,3815.0000
RNASim-1000,R1,magus_default-iter0initi,0,552.0100
RNASim-1000,R1,magus_default-iter1,1,1537.3200
RNASim-1000,R1,magus_magus-iter0initi,0,489.0500
RNASim-1000,R1,magus_magus-iter1,1,874.6600
RNASim-1000,R1,magus_magus-iter1guide,1,956.4500
RNASim-1000,R1,magus_magus-iter2,2,1305.5200
RNASim-1000,R1,magus_magus-iter2guide,2,1387.8000
RNASim-1000,R1,magus_magus-iter3,3,1757.7100
RNASim-1000,R1,magus_magus-iter3guide,3,1838.0000
RNASim-1000,R1,magus_magus-iter4,4,2199.3900
RNASim-1000,R2,magus_clustalo-iter0initi,0,6.8900
RNASim-1000,R2,magus_clustalo-iter1,1,789.8900
RNASim-1000,R2,magus_clustalo-iter1guide,1,845.9700
RNASim-1000,R2,magus_clustalo-iter2,2,1633.8100
RNASim-1000,R2,magus_clustalo-iter2guide,2,1688.4600
RNASim-1000,R2,magus_clustalo-iter3,3,2518.5000
RNASim-1000,R2,magus_clustalo-iter3guide,3,2574.5300
RNASim-1000,R2,magus_clustalo-iter4,4,3349.3100
RNASim-1000,R2,magus_default-iter0initi,0,542.0300
RNASim-1000,R2,magus_default-iter1,1,1598.4000
RNASim-1000,R2,magus_magus-iter0initi,0,465.8000
RNASim-1000,R2,magus_magus-iter1,1,835.8600
RNASim-1000,R2,magus_magus-iter1guide,1,919.5500
RNASim-1000,R2,magus_magus-iter2,2,1286.0500
RNASim-1000,R2,magus_magus-iter2guide,2,1372.3500
RNASim-1000,R2,magus_magus-iter3,3,1789.5300
RNASim-1000,R2,magus_magus-iter3guide,3,1871.8200
RNASim-1000,R2,magus_magus-iter4,4,2263.2200
RNASim-1000,R3,magus_clustalo-iter0initi,0,8.8400
RNASim-1000,R3,magus_clustalo-iter1,1,1105.3900
RNASim-1000,R3,magus_clustalo-iter1guide,1,1188.6200
RNASim-1000,R3,magus_clustalo-iter2,2,2344.2700
RNASim-1000,R3,magus_clustalo-iter2guide,2,2424.4900
RNASim-1000,R3,magus_clustalo-iter3,3,3490.5000
RNASim-1000,R3,magus_clustalo-iter3guide,3,3571.3000
RNASim-1000,R3,magus_clustalo-iter4,4,4695.1500
RNASim-1000,R3,magus_default-iter0initi,0,470.7500
RNASim-1000,R3,magus_default-iter1,1,1699.8500
RNASim-1000,R3,magus_magus-iter0initi,0,511.0300
RNASim-1000,R3,magus_magus-iter1,1,916.6100
RNASim-1000,R3,magus_magus-iter1guide,1,998.6200
RNASim-1000,R3,magus_magus-iter2,2,1371.7600
RNASim-1000,R3,magus_magus-iter2guide,2,1452.6000
RNASim-1000,R3,magus_magus-iter3,3,1809.2900
